 BIN, NO IN BINS   189       3
 BIN, NO IN BINS   190       1
 BIN, NO IN BINS   191       7
 BIN, NO IN BINS   192      23
 BIN, NO IN BINS   193      51
 BIN, NO IN BINS   194      94
 BIN, NO IN BINS   195     198
 BIN, NO IN BINS   196     288
 BIN, NO IN BINS   197     495
 BIN, NO IN BINS   198     724
 BIN, NO IN BINS   199     997
 BIN, NO IN BINS   200    1291
 BIN, NO IN BINS   201    1417
 BIN, NO IN BINS   202    1422
 BIN, NO IN BINS   203    1314
 BIN, NO IN BINS   204    1114
 BIN, NO IN BINS   205     967
 BIN, NO IN BINS   206     622
 BIN, NO IN BINS   207     420
 BIN, NO IN BINS   208     267
 BIN, NO IN BINS   209     146
 BIN, NO IN BINS   210      74
 BIN, NO IN BINS   211      38
 BIN, NO IN BINS   212      17
 BIN, NO IN BINS   213       8
 BIN, NO IN BINS   214       2
 BIN, NO IN BINS   215       0
 BIN, NO IN BINS   216       0
 BIN, NO IN BINS   217       0
 BIN, NO IN BINS   218       0
 BIN, NO IN BINS   219       0
 BIN, NO IN BINS   220       0
 BIN, NO IN BINS   221       0
 BIN, NO IN BINS   222       1
 BIN, NO IN BINS   223       3
 BIN, NO IN BINS   224       5
 BIN, NO IN BINS   225      14
 BIN, NO IN BINS   226      34
 BIN, NO IN BINS   227      66
 BIN, NO IN BINS   228     129
 BIN, NO IN BINS   229     288
 BIN, NO IN BINS   230     450
 BIN, NO IN BINS   231     793
 BIN, NO IN BINS   232    1184
 BIN, NO IN BINS   233    1557
 BIN, NO IN BINS   234    1968
 BIN, NO IN BINS   235    2409
 BIN, NO IN BINS   236    2587
 BIN, NO IN BINS   237    2597
 BIN, NO IN BINS   238    2439
 BIN, NO IN BINS   239    2307
 BIN, NO IN BINS   240    1840
 BIN, NO IN BINS   241    1510
 BIN, NO IN BINS   242    1210
 BIN, NO IN BINS   243    1048
 BIN, NO IN BINS   244     941
 BIN, NO IN BINS   245     964
 BIN, NO IN BINS   246     936
 BIN, NO IN BINS   247     894
 BIN, NO IN BINS   248     891
 BIN, NO IN BINS   249     786
 BIN, NO IN BINS   250     602
 BIN, NO IN BINS   251     533
 BIN, NO IN BINS   252     371
 BIN, NO IN BINS   253     253
 BIN, NO IN BINS   254     164
 BIN, NO IN BINS   255     112
 BIN, NO IN BINS   256      68
 BIN, NO IN BINS   257      31
 BIN, NO IN BINS   258      10
 BIN, NO IN BINS   259       2
 BIN, NO IN BINS   260       1
 BIN, NO IN BINS   261       1
 BIN, NO IN BINS   262       1
 BIN, NO IN BINS   263       0
 BIN, NO IN BINS   264       0
 BIN, NO IN BINS   265       0
 BIN, NO IN BINS   266       0
 BIN, NO IN BINS   267       0
 BIN, NO IN BINS   268       0
 BIN, NO IN BINS   269       0
 BIN, NO IN BINS   270       0
 BIN, NO IN BINS   271       0
 BIN, NO IN BINS   272       1
 BIN, NO IN BINS   273       1
 BIN, NO IN BINS   274       1
 BIN, NO IN BINS   275      14
 BIN, NO IN BINS   276      25
 BIN, NO IN BINS   277      36
 BIN, NO IN BINS   278      68
 BIN, NO IN BINS   279     110
 BIN, NO IN BINS   280     161
 BIN, NO IN BINS   281     302
 BIN, NO IN BINS   282     424
 BIN, NO IN BINS   283     544
 BIN, NO IN BINS   284     608
 BIN, NO IN BINS   285     614
 BIN, NO IN BINS   286     659
 BIN, NO IN BINS   287     637
 BIN, NO IN BINS   288     553
 BIN, NO IN BINS   289     427
 BIN, NO IN BINS   290     327
 BIN, NO IN BINS   291     214
 BIN, NO IN BINS   292     136
 BIN, NO IN BINS   293      69
 BIN, NO IN BINS   294      42
 BIN, NO IN BINS   295      17
 BIN, NO IN BINS   296       7
 BIN, NO IN BINS   297       2
 BIN, NO IN BINS   298       8
 BIN, NO IN BINS   299       9
 BIN, NO IN BINS   300      36
 BIN, NO IN BINS   301      58
 BIN, NO IN BINS   302     133
 BIN, NO IN BINS   303     268
 BIN, NO IN BINS   304     411
 BIN, NO IN BINS   305     604
 BIN, NO IN BINS   306     996
 BIN, NO IN BINS   307    1409
 BIN, NO IN BINS   308    1786
 BIN, NO IN BINS   309    2159
 BIN, NO IN BINS   310    2526
 BIN, NO IN BINS   311    2608
 BIN, NO IN BINS   312    2755
 BIN, NO IN BINS   313    2803
 BIN, NO IN BINS   314    2793
 BIN, NO IN BINS   315    2846
 BIN, NO IN BINS   316    2882
 BIN, NO IN BINS   317    2987
 BIN, NO IN BINS   318    2939
 BIN, NO IN BINS   319    3012
 BIN, NO IN BINS   320    2874
 BIN, NO IN BINS   321    2503
 BIN, NO IN BINS   322    2057
 BIN, NO IN BINS   323    1614
 BIN, NO IN BINS   324    1113
 BIN, NO IN BINS   325     792
 BIN, NO IN BINS   326     478
 BIN, NO IN BINS   327     271
 BIN, NO IN BINS   328     144
 BIN, NO IN BINS   329      77
 BIN, NO IN BINS   330      36
 BIN, NO IN BINS   331      12
 BIN, NO IN BINS   332       1
 BIN, NO IN BINS   333       1
 BIN, NO IN BINS   334       0
 BIN, NO IN BINS   335       1
 BIN, NO IN BINS   336       2
 BIN, NO IN BINS   337       5
 BIN, NO IN BINS   338      28
 BIN, NO IN BINS   339      43
 BIN, NO IN BINS   340      78
 BIN, NO IN BINS   341     130
 BIN, NO IN BINS   342     247
 BIN, NO IN BINS   343     463
 BIN, NO IN BINS   344     745
 BIN, NO IN BINS   345    1096
 BIN, NO IN BINS   346    1551
 BIN, NO IN BINS   347    1928
 BIN, NO IN BINS   348    2291
 BIN, NO IN BINS   349    2533
 BIN, NO IN BINS   350    2545
 BIN, NO IN BINS   351    2508
 BIN, NO IN BINS   352    2112
 BIN, NO IN BINS   353    1783
 BIN, NO IN BINS   354    1327
 BIN, NO IN BINS   355     993
 BIN, NO IN BINS   356     666
 BIN, NO IN BINS   357     416
 BIN, NO IN BINS   358     265
 BIN, NO IN BINS   359     160
 BIN, NO IN BINS   360     112
 BIN, NO IN BINS   361     118
 BIN, NO IN BINS   362     193
 BIN, NO IN BINS   363     322
 BIN, NO IN BINS   364     558
 BIN, NO IN BINS   365     916
 BIN, NO IN BINS   366    1314
 BIN, NO IN BINS   367    1859
 BIN, NO IN BINS   368    2464
 BIN, NO IN BINS   369    2898
 BIN, NO IN BINS   370    3259
 BIN, NO IN BINS   371    3446
 BIN, NO IN BINS   372    3278
 BIN, NO IN BINS   373    2970
 BIN, NO IN BINS   374    2582
 BIN, NO IN BINS   375    1985
 BIN, NO IN BINS   376    1402
 BIN, NO IN BINS   377    1030
 BIN, NO IN BINS   378     603
 BIN, NO IN BINS   379     380
 BIN, NO IN BINS   380     192
 BIN, NO IN BINS   381      98
 BIN, NO IN BINS   382      51
 BIN, NO IN BINS   383      27
 BIN, NO IN BINS   384      12
 BIN, NO IN BINS   385       9
 BIN, NO IN BINS   386       4
 BIN, NO IN BINS   387       2
 BIN, NO IN BINS   388       0
 BIN, NO IN BINS   389       1
 BIN, NO IN BINS   390       0
 BIN, NO IN BINS   391       4
 BIN, NO IN BINS   392       7
 BIN, NO IN BINS   393      23
 BIN, NO IN BINS   394      32
 BIN, NO IN BINS   395      58
 BIN, NO IN BINS   396     124
 BIN, NO IN BINS   397     210
 BIN, NO IN BINS   398     365
 BIN, NO IN BINS   399     488
 BIN, NO IN BINS   400     659
 BIN, NO IN BINS   401     926
 BIN, NO IN BINS   402    1178
 BIN, NO IN BINS   403    1229
 BIN, NO IN BINS   404    1341
 BIN, NO IN BINS   405    1185
 BIN, NO IN BINS   406    1120
 BIN, NO IN BINS   407     984
 BIN, NO IN BINS   408     690
 BIN, NO IN BINS   409     533
 BIN, NO IN BINS   410     357
 BIN, NO IN BINS   411     287
 BIN, NO IN BINS   412     240
 BIN, NO IN BINS   413     296
 BIN, NO IN BINS   414     489
 BIN, NO IN BINS   415     698
 BIN, NO IN BINS   416    1181
 BIN, NO IN BINS   417    1757
 BIN, NO IN BINS   418    2570
 BIN, NO IN BINS   419    3366
 BIN, NO IN BINS   420    4183
 BIN, NO IN BINS   421    5063
 BIN, NO IN BINS   422    5789
 BIN, NO IN BINS   423    6116
 BIN, NO IN BINS   424    6095
 BIN, NO IN BINS   425    6082
 BIN, NO IN BINS   426    5915
 BIN, NO IN BINS   427    5326
 BIN, NO IN BINS   428    4868
 BIN, NO IN BINS   429    4269
 BIN, NO IN BINS   430    3686
 BIN, NO IN BINS   431    2903
 BIN, NO IN BINS   432    2256
 BIN, NO IN BINS   433    1778
 BIN, NO IN BINS   434    1229
 BIN, NO IN BINS   435     822
 BIN, NO IN BINS   436     499
 BIN, NO IN BINS   437     332
 BIN, NO IN BINS   438     204
 BIN, NO IN BINS   439     101
 BIN, NO IN BINS   440      61
 BIN, NO IN BINS   441      71
 BIN, NO IN BINS   442      96
 BIN, NO IN BINS   443     172
 BIN, NO IN BINS   444     302
 BIN, NO IN BINS   445     492
 BIN, NO IN BINS   446     748
 BIN, NO IN BINS   447    1132
 BIN, NO IN BINS   448    1491
 BIN, NO IN BINS   449    1971
 BIN, NO IN BINS   450    2313
 BIN, NO IN BINS   451    2550
 BIN, NO IN BINS   452    2550
 BIN, NO IN BINS   453    2412
 BIN, NO IN BINS   454    2120
 BIN, NO IN BINS   455    1753
 BIN, NO IN BINS   456    1380
 BIN, NO IN BINS   457    1019
 BIN, NO IN BINS   458     704
 BIN, NO IN BINS   459     591
 BIN, NO IN BINS   460     470
 BIN, NO IN BINS   461     517
 BIN, NO IN BINS   462     717
 BIN, NO IN BINS   463    1069
 BIN, NO IN BINS   464    1433
 BIN, NO IN BINS   465    1746
 BIN, NO IN BINS   466    2301
 BIN, NO IN BINS   467    2815
 BIN, NO IN BINS   468    3139
 BIN, NO IN BINS   469    3410
 BIN, NO IN BINS   470    3726
 BIN, NO IN BINS   471    3864
 BIN, NO IN BINS   472    3883
 BIN, NO IN BINS   473    3760
 BIN, NO IN BINS   474    3439
 BIN, NO IN BINS   475    3069
 BIN, NO IN BINS   476    2497
 BIN, NO IN BINS   477    1981
 BIN, NO IN BINS   478    1498
 BIN, NO IN BINS   479    1095
 BIN, NO IN BINS   480     694
 BIN, NO IN BINS   481     465
 BIN, NO IN BINS   482     281
 BIN, NO IN BINS   483     166
 BIN, NO IN BINS   484     105
 BIN, NO IN BINS   485      74
 BIN, NO IN BINS   486      87
 BIN, NO IN BINS   487     116
 BIN, NO IN BINS   488     184
 BIN, NO IN BINS   489     309
 BIN, NO IN BINS   490     379
 BIN, NO IN BINS   491     499
 BIN, NO IN BINS   492     570
 BIN, NO IN BINS   493     681
 BIN, NO IN BINS   494     813
 BIN, NO IN BINS   495     784
 BIN, NO IN BINS   496     756
 BIN, NO IN BINS   497     678
 BIN, NO IN BINS   498     620
 BIN, NO IN BINS   499     507
 BIN, NO IN BINS   500     463
